Month,Category,Caltex,Gulf,Mobil
Open,Engine Oil,140 :  000,199 :  000,141 :  000
,GearBox Oil,198 :  000,132 :  000,121 :  000
Jan,Engine Oil,170 :  103,194 :  132,109 :  127
,GearBox Oil,132 :  106,125 :  105,191 :  100
Feb,Engine Oil,112 :  133,138 :  113,171 :  101
,GearBox Oil,193 :  148,199 :  119,134 :  127
Mar,Engine Oil,184 :  100,141 :  141,114 :  108
,GearBox Oil,138 :  121,172 :  133,193 :  115
Apr,Engine Oil,149 :  150,117 :  118,117 :  118
,GearBox Oil,185 :  125,191 :  133,119 :  121
May,Engine Oil,170 :  139,104 :  119,200 :  117
,GearBox Oil,168 :  117,138 :  102,121 :  146
Jun,Engine Oil,159 :  129,170 :  138,169 :  105
,GearBox Oil,107 :  129,195 :  141,141 :  112
